exon_group	group	VAF
middle	fs_indel_expressed	0.103896104
middle	fs_indel_expressed	0.151785714
middle	fs_indel_expressed	0.416666667
penultimate_within_50bp	fs_indel_expressed	0.5
middle	fs_indel_expressed	0.207920792
middle	fs_indel_expressed	0.173913043
middle	fs_indel_expressed	0.165217391
last	fs_indel_expressed	0.437017995
middle	fs_indel_expressed	0.094017094
first	fs_indel_expressed	0.176980198
last	fs_indel_expressed	0.476190476
penultimate_50bp_plus	fs_indel_expressed	0.2
first	fs_indel_expressed	0.533333333
middle	fs_indel_expressed	0.270588235
middle	fs_indel_expressed	0.333333333
middle	fs_indel_expressed	0.5
penultimate_50bp_plus	fs_indel_expressed	0.377593361
penultimate_within_50bp	fs_indel_expressed	0.5
middle	fs_indel_expressed	0.25462963
last	fs_indel_expressed	0.161290323
last	fs_indel_expressed	0.282051282
middle	fs_indel_expressed	0.272727273
middle	fs_indel_expressed	0.077419355
penultimate_50bp_plus	fs_indel_expressed	0.073170732
middle	fs_indel_expressed	0.28
last	fs_indel_expressed	0.180555556
middle	fs_indel_expressed	0.134328358
middle	fs_indel_expressed	0.65
middle	fs_indel_expressed	0.43902439
penultimate_within_50bp	fs_indel_expressed	0.155555556
middle	fs_indel_expressed	0.054054054
middle	fs_indel_expressed	0.178787879
last	fs_indel_expressed	0.333333333
middle	fs_indel_expressed	0.444444444
middle	fs_indel_expressed	0.311111111
middle	fs_indel_expressed	0.096491228
penultimate_within_50bp	fs_indel_expressed	0.828571429
last	fs_indel_expressed	0.445378151
middle	fs_indel_expressed	0.496062992
middle	fs_indel_expressed	0.121387283
middle	fs_indel_expressed	0.12716763
middle	fs_indel_expressed	0.145374449
last	fs_indel_expressed	0.161849711
middle	fs_indel_expressed	0.050505051
last	fs_indel_expressed	0.434876211
middle	fs_indel_expressed	0.282051282
middle	fs_indel_expressed	0.117647059
middle	fs_indel_expressed	0.083333333
first	fs_indel_expressed	0.203883495
middle	fs_indel_expressed	0.194805195
middle	fs_indel_expressed	0.103092784
middle	fs_indel_expressed	0.056701031
middle	fs_indel_expressed	0.1875
middle	fs_indel_expressed	0.105590062
middle	fs_indel_expressed	0.285714286
middle	fs_indel_expressed	0.857142857
penultimate_within_50bp	fs_indel_expressed	0.375
middle	fs_indel_expressed	0.297297297
middle	fs_indel_expressed	0.301675978
middle	fs_indel_expressed	0.328358209
penultimate_50bp_plus	fs_indel_expressed	0.244604317
middle	fs_indel_expressed	0.375
penultimate_50bp_plus	fs_indel_expressed	0.313253012
middle	fs_indel_expressed	0.148148148
last	fs_indel_expressed	0.388888889
middle	fs_indel_expressed	0.277372263
last	fs_indel_expressed	0.408284024
middle	fs_indel_expressed	0.157303371
middle	fs_indel_expressed	0.142857143
middle	fs_indel_expressed	0.099773243
last	fs_indel_expressed	0.380952381
middle	fs_indel_expressed	0.375
middle	fs_indel_expressed	0.086021505
last	fs_indel_expressed	0.836363636
middle	fs_indel_expressed	0.470588235
middle	fs_indel_expressed	0.13003096
middle	fs_indel_expressed	0.264150943
middle	fs_indel_expressed	0.315789474
middle	fs_indel_expressed	0.231578947
middle	fs_indel_expressed	0.315789474
middle	fs_indel_expressed	0.248175182
last	fs_indel_expressed	0.310344828
middle	fs_indel_expressed	0.0625
last	fs_indel_expressed	0.333333333
middle	fs_indel_expressed	0.205479452
middle	fs_indel_expressed	0.214285714
middle	fs_indel_expressed	0.296296296
penultimate_within_50bp	fs_indel_expressed	0.355932203
first	fs_indel_expressed	0.414634146
middle	fs_indel_expressed	0.061349693
middle	fs_indel_expressed	0.078125
middle	fs_indel_expressed	0.18705036
middle	fs_indel_expressed	0.363636364
middle	fs_indel_expressed	0.203703704
last	fs_indel_expressed	0.11
middle	fs_indel_expressed	0.296296296
last	fs_indel_expressed	0.346341463
middle	fs_indel_expressed	0.092307692
middle	fs_indel_expressed	0.135802469
middle	fs_indel_expressed	0.081395349
middle	fs_indel_expressed	0.357142857
penultimate_within_50bp	fs_indel_expressed	0.431372549
middle	fs_indel_expressed	0.055555556
middle	fs_indel_expressed	0.444444444
middle	fs_indel_expressed	0.165109034
middle	fs_indel_expressed	0.225
middle	fs_indel_expressed	0.223684211
last	fs_indel_expressed	0.666666667
middle	fs_indel_expressed	0.292035398
middle	fs_indel_expressed	0.22
middle	fs_indel_expressed	0.255319149
last	fs_indel_expressed	0.333333333
penultimate_within_50bp	fs_indel_expressed	0.215686275
middle	fs_indel_expressed	0.227091633
last	fs_indel_expressed	0.465753425
middle	fs_indel_expressed	0.36
middle	fs_indel_expressed	0.176829268
last	fs_indel_expressed	0.196078431
middle	fs_indel_expressed	0.230769231
middle	fs_indel_expressed	0.127659574
middle	fs_indel_expressed	0.138613861
last	fs_indel_expressed	0.205020921
middle	fs_indel_expressed	0.111111111
last	fs_indel_expressed	0.304301075
penultimate_within_50bp	fs_indel_expressed	0.391752577
middle	fs_indel_expressed	0.162162162
middle	fs_indel_expressed	0.101941748
middle	fs_indel_expressed	0.143884892
middle	fs_indel_expressed	0.385135135
penultimate_within_50bp	fs_indel_expressed	0.14953271
middle	fs_indel_expressed	0.065934066
last	fs_indel_expressed	0.419117647
middle	fs_indel_expressed	0.282857143
middle	fs_indel_expressed	0.244556114
middle	fs_indel_expressed	0.067885117
middle	fs_indel_expressed	0.296969697
penultimate_within_50bp	fs_indel_expressed	0.282511211
middle	fs_indel_expressed	0.243902439
middle	fs_indel_expressed	0.125
last	fs_indel_expressed	0.049618321
middle	fs_indel_expressed	0.242105263
last	fs_indel_expressed	0.407079646
middle	fs_indel_expressed	0.140625
middle	fs_indel_expressed	0.129770992
middle	fs_indel_expressed	0.108108108
middle	fs_indel_expressed	0.116666667
middle	fs_indel_expressed	0.134057971
last	fs_indel_expressed	0.137254902
middle	fs_indel_expressed	0.102893891
middle	fs_indel_expressed	0.075
first	fs_indel_expressed	0.136363636
middle	fs_indel_expressed	0.4
last	fs_indel_expressed	0.089552239
last	fs_indel_expressed	0.251968504
penultimate_within_50bp	fs_indel_expressed	0.317829457
penultimate_50bp_plus	fs_indel_expressed	0.356164384
middle	fs_indel_expressed	0.118644068
